"N_Policy","Company","Category","Char","Started","Expired","TK","City","District","Mark","Use","Gender","Gross","Net","Commissions","id"
"61300315","ΕΘΝΙΚΗ Ασφαλιστική","ΑΥΤΟΚΙΝΗΤΟ","ΥΝΒ2855","09/01/2020","09/04/2020","14231","ΝΕΑ ΙΩΝΙΑ","ΑΤΤΙΚΗΣ","BMW","ΕΙΧ","2",70.55,50.42,10.08,338
"266898","EUROP ASSISTANCE","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΥΝΒ2855","09/10/2020","09/01/2021","14231","ΝΕΑ ΙΩΝΙΑ","ΑΤΤΙΚΗΣ","BMW","ΕΙΧ","2",5.5,3.82,0.15,338
"665370","MAPFRE ASISTENCIA","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΥΝΒ2855","09/07/2020","09/10/2020","14231","ΝΕΑ ΙΩΝΙΑ","ΑΤΤΙΚΗΣ","BMW","ΕΙΧ","2",5.5,3.68,0.15,338
"61300315","ΕΘΝΙΚΗ Ασφαλιστική","ΑΥΤΟΚΙΝΗΤΟ","ΥΝΒ2855","09/04/2020","09/07/2020","14231","ΝΕΑ ΙΩΝΙΑ","ΑΤΤΙΚΗΣ","BMW","ΕΙΧ","2",70.55,50.42,10.08,338
"61300315","ΕΘΝΙΚΗ Ασφαλιστική","ΑΥΤΟΚΙΝΗΤΟ","ΥΝΒ2855","09/10/2020","09/01/2021","14231","ΝΕΑ ΙΩΝΙΑ","ΑΤΤΙΚΗΣ","BMW","ΕΙΧ","2",70.55,50.42,10.08,338
"604412","MAPFRE ASISTENCIA","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΥΝΒ2855","09/01/2020","09/04/2020","14231","ΝΕΑ ΙΩΝΙΑ","ΑΤΤΙΚΗΣ","BMW","ΕΙΧ","2",5.5,3.68,0.15,338
"632600","MAPFRE ASISTENCIA","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΥΝΒ2855","09/04/2020","09/07/2020","14231","ΝΕΑ ΙΩΝΙΑ","ΑΤΤΙΚΗΣ","BMW","ΕΙΧ","2",5.5,3.68,0.15,338
"95182","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΙΕΕ9743","20/07/2020","20/01/2021","15354","ΓΛΥΚΑ ΝΕΡΑ","ΑΤΤΙΚΗΣ","PEUGEOT","ΕΙΧ","1",2.5,1.81,0.4,294
"1424111","ΑΤΛΑΝΤΙΚΗ ΕΝΩΣΗ","ΑΥΤΟΚΙΝΗΤΟ","ΙΕΕ9743","20/01/2020","20/07/2020","15354","ΓΛΥΚΑ ΝΕΡΑ","ΑΤΤΙΚΗΣ","PEUGEOT","ΕΙΧ","1",103,67.27,14.13,294
"32332073","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΙΕΕ9743","20/07/2020","20/01/2021","15354","ΓΛΥΚΑ ΝΕΡΑ","ΑΤΤΙΚΗΣ","PEUGEOT","ΕΙΧ","1",10.49,9.08,0.73,294
"675938","MAPFRE ASISTENCIA","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΙΕΕ9743","20/07/2020","20/01/2021","15354","ΓΛΥΚΑ ΝΕΡΑ","ΑΤΤΙΚΗΣ","PEUGEOT","ΕΙΧ","1",11,7.36,0.29,294
"32104946","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΙΕΕ9743","20/01/2020","20/07/2020","15354","ΓΛΥΚΑ ΝΕΡΑ","ΑΤΤΙΚΗΣ","PEUGEOT","ΕΙΧ","1",10.37,8.97,0.9,294
