N_Policy,Company,Category,Char,Started,Expired,District,Gross,Net,Commissions,id
31619098931,ΑΓΡΟΤΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΜΥΑ4940,31/10/2016,30/04/2017,ΛΕΣΒΟΥ,66.88,45.61,9.12,1910
31619053785,ΑΓΡΟΤΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΙΗΑ0395,04/12/2016,04/03/2017,ΑΤΤΙΚΗ,48.62,33.2,6.64,1904
31619053785,ΑΓΡΟΤΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΙΗΑ0395,04/09/2016,04/12/2016,ΑΤΤΙΚΗ,48.62,33.2,6.64,1904
315924,ALPHA EUROSTATUS ,ΑΥΤΟΚΙΝΗΤΩΝ,ΕΚΑ6321,24/08/2016,24/11/2016,ΑΤΤΙΚΗ,257.24,164.52,11.52,1904
320753,ALPHA EUROSTATUS ,ΑΥΤΟΚΙΝΗΤΩΝ,ΕΚΑ6321,22/11/2016,22/02/2017,ΑΤΤΙΚΗ,257.24,164.52,11.52,1904
31619053785,ΑΓΡΟΤΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΙΗΑ0395,04/06/2016,04/09/2016,ΑΤΤΙΚΗ,48.62,33.2,6.64,1904
11305187,GENERALI,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΜΥ9691,28/12/2015,28/12/2016,ΑΤΤΙΚΗ,306.96,209.96,41.99,421
2174008592,ΕΥΡΩΠΗ ΑΕΓΑ,ΠΥΡΟΣ,NA,02/09/2016,02/09/2017,ΑΤΤΙΚΗ,260.08,180.15,42.34,421
1488077,INTERNATIONAL LIFE,ΑΥΤΟΚΙΝΗΤΩΝ,ΜΥΒ5822,20/01/2016,20/07/2016,ΛΕΣΒΟΥ,76,50.57,10.02,1852
02030023257,ERGO A.A.E.Z,ΑΥΤΟΚΙΝΗΤΩΝ,ΜΥΒ3292,16/09/2016,16/12/2016,ΛΕΣΒΟΥ,41,27.5,4.4,290
3174017542,PRIME INSURANCE,ΠΥΡΟΣ,NA,12/10/2016,12/10/2017,ΛΕΣΒΟΥ,162.05,117.06,30.4,748
ΕΜ3524,ΣΥΝΕΤΑΙΡΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΥΗΕ3154,02/09/2016,02/03/2017,ΑΤΤΙΚΗ,101.5,70.58,14.12,402
30095887,ΙΝΤΕΡΑΜΕΡΙΚΑΝ,ΑΥΤΟΚΙΝΗΤΩΝ,ΥΡΥ4215,17/07/2016,17/07/2017,ΑΡΤΑΣ,150.59,103.32,20.66,1890
1507018,INTERNATIONAL LIFE,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΑΒ9785,03/03/2016,03/06/2016,ΖΑΚΥΝΘΟΥ,38,25.05,4.96,1857
1507018,INTERNATIONAL LIFE,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΑΒ9785,09/05/2016,03/06/2016,ΖΑΚΥΝΘΟΥ,2.75,1.98,0.4,1857
1496302,INTERNATIONAL LIFE,ΑΥΤΟΚΙΝΗΤΩΝ,ΥΜΡ9236,10/02/2016,10/05/2016,ΛΕΣΒΟΥ,34,22.73,4.5,1853
102692012,ALLIANZ ΕΥΡΩΠΑΙΚΗ ΠΙΣΤΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΧΙΖ2276,08/08/2016,08/02/2017,ΧΙΟΥ,119.69,80.43,16.09,1840
213246372,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΥΚΒ8704,23/12/2016,23/12/2017,ΑΤΤΙΚΗ,237,160.86,32.17,1886
11350766,GENERALI,ΖΩΗΣ,NA,28/10/2016,28/11/2016,ΑΤΤΙΚΗ,26.1,20.64,3.5,98
11350769,GENERALI,ΖΩΗΣ,NA,28/07/2016,28/08/2016,ΑΤΤΙΚΗ,22.87,18.08,3.07,98
11350766,GENERALI,ΖΩΗΣ,NA,28/05/2016,28/06/2016,ΑΤΤΙΚΗ,26.1,20.64,3.5,98
6163693,GROUPAMA,ΠΥΡΟΣ,NA,26/01/2016,30/05/2016,ΑΤΤΙΚΗ,9.99,7.24,1.74,98
11350766,GENERALI,ΖΩΗΣ,NA,28/08/2016,28/09/2016,ΑΤΤΙΚΗ,26.1,20.64,3.5,98
11350766,GENERALI,ΖΩΗΣ,NA,28/09/2016,28/10/2016,ΑΤΤΙΚΗ,26.1,20.64,3.5,98
11350769,GENERALI,ΖΩΗΣ,NA,28/04/2016,28/05/2016,ΑΤΤΙΚΗ,22.87,18.08,3.07,98
11350766,GENERALI,ΖΩΗΣ,NA,28/03/2016,28/04/2016,ΑΤΤΙΚΗ,60.83,20.64,3.5,98
6163693,GROUPAMA,ΠΥΡΟΣ,NA,30/11/2015,30/05/2016,ΑΤΤΙΚΗ,86.5,62.65,15.04,98
11350766,GENERALI,ΖΩΗΣ,NA,28/07/2016,28/08/2016,ΑΤΤΙΚΗ,26.1,20.64,3.5,98
11350766,GENERALI,ΖΩΗΣ,NA,28/04/2016,28/05/2016,ΑΤΤΙΚΗ,26.1,20.64,3.5,98
11350769,GENERALI,ΖΩΗΣ,NA,28/11/2016,28/12/2016,ΑΤΤΙΚΗ,22.87,18.08,3.07,98
11350769,GENERALI,ΖΩΗΣ,NA,28/06/2016,28/07/2016,ΑΤΤΙΚΗ,22.87,18.08,3.07,98
11350766,GENERALI,ΖΩΗΣ,NA,28/06/2016,28/07/2016,ΑΤΤΙΚΗ,26.1,20.64,3.5,98
