N_Policy,Company,Category,Char,Started,Expired,District,Gender,Gross,Net,Commissions,id
61461030,myZen by Groupama,ΑΥΤΟΚΙΝΗΤΟ,ΙΝΖ8043,21/05/2023,21/11/2023,ΑΤΤΙΚΗΣ,1,91.06,65.16,3.26,958
61461030,myZen by Groupama,ΑΥΤΟΚΙΝΗΤΟ,ΙΝΖ8043,21/11/2023,23/05/2024,ΑΤΤΙΚΗΣ,1,97.72,69.91,3.5,958
587669,ARAG,ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ,ΥΚΙ5524,27/09/2023,27/03/2024,ΑΤΤΙΚΗΣ,1,2.5,1.81,0.43,958
32868665,ANYTIME,ΑΥΤΟΚΙΝΗΤΟ,ΥΚΙ5524,27/09/2023,27/03/2024,ΑΤΤΙΚΗΣ,1,72.56,49.53,5.45,958
653929,ARAG,ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ,ΙΝΖ8043,21/11/2023,23/05/2024,ΑΤΤΙΚΗΣ,1,2.53,1.83,0.44,958
33425319,ANYTIME,ΑΥΤΟΚΙΝΗΤΟ,ΧΕΒ5938,09/01/2023,09/01/2024,ΑΤΤΙΚΗΣ,0,249.52,171.34,18.85,1443
901835,EUROP ASSISTANCE,ΟΔΙΚΗ ΒΟΗΘΕΙΑ,ΧΕΒ5938,09/01/2023,09/01/2024,ΑΤΤΙΚΗΣ,0,20,13.91,0.63,1443
435708,ARAG,ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ,ΧΕΒ5938,09/01/2023,09/01/2024,ΑΤΤΙΚΗΣ,0,4,2.9,0.38,1443
540082,ARAG,ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ,ΥΖΝ8636,03/07/2023,03/07/2024,ΑΤΤΙΚΗΣ,2,5,3.62,0.87,44
933874,EUROP ASSISTANCE,ΟΔΙΚΗ ΒΟΗΘΕΙΑ,ΥΖΝ8636,03/07/2023,03/07/2024,ΑΤΤΙΚΗΣ,2,24,16.7,0.58,44
32762192,ANYTIME,ΑΥΤΟΚΙΝΗΤΟ,ΥΖΝ8636,03/07/2023,03/07/2024,ΑΤΤΙΚΗΣ,2,139.88,95.7,10.53,44
955153,EUROP ASSISTANCE,ΟΔΙΚΗ ΒΟΗΘΕΙΑ,ΟΥΥ565,19/10/2023,19/10/2024,ΑΤΤΙΚΗΣ,0,24,16.7,4.34,540
